"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"MalcolmFromTheN","I'm just here for the music and the jokes. The Jokes are here. The Music is here: https://t.co/13YQyTSRg4",16210,1630,38945,3594,NA,"Malcolm From The North",2009-05-07 13:01:21,FALSE,FALSE,"MalcolmFromTheN","Ontario, Canada","en","38425325",10,FALSE,"http://pbs.twimg.com/profile_images/1100846344682393600/Lbj38UqH_normal.png"
"ACHEConnect","The official account of the American College of Healthcare Executives, an international professional society of more than 48,000 healthcare leaders.",8900,8019,2206,164,"https://t.co/p7CUTSyknk","ACHE",2010-02-10 17:22:00,FALSE,TRUE,"ACHEConnect","Chicago","en","113087760",222,FALSE,"http://pbs.twimg.com/profile_images/859491579429564416/BfUjpO9V_normal.jpg"
"krems81","I’m not popular yet, but I’m one of the best on this thing.",1115,28,638,412,NA,"Krems81",2013-03-25 19:17:52,FALSE,FALSE,"krems81","Chicago, IL","en","1300759298",0,FALSE,"http://pbs.twimg.com/profile_images/1078035179611082768/QfoqBeFZ_normal.jpg"
"SeibertLA1","Solar-Powered Dayton Native - <U+0001F31E> Sunny-Side Up, loves people, critters <U+0001F355><U+0001F37A> & laughter. Sales at @Dayton_Local ~ the #1 site for #Dayton #Places2Go & #Things2Do",52350,2977,7605,2727,"https://t.co/YxnpSyI1kN","Lisa Seibert",2012-04-09 16:03:55,FALSE,FALSE,"SeibertLA","Dayton, OH, United States","en","549421530",137,FALSE,"http://pbs.twimg.com/profile_images/1096763496283410432/2Y4Z3jWz_normal.png"
"BDandCo1","Tweeting news and information about BD (Becton, Dickinson and Co.) - a leading global medical technology company. #bectondickinson #BD #BDX",1838,7207,383,425,"https://t.co/wJ5nN876xg","BD",2009-11-24 23:10:59,FALSE,FALSE,"BDandCo","Franklin Lakes, NJ","en","92391733",199,FALSE,"http://pbs.twimg.com/profile_images/686293515215716353/xug2BafP_normal.jpg"
"MsWeezah","A Free Spirited Wildflower<U+0001F33B>, gracing the Earth with my beloved #Doberman, Sam. Proud #Texan. Conservative Libertarian. <U+0001F1FA><U+0001F1F8>Vulgar, thus absolutely NOT PC.",108783,3871,72833,1748,NA,"Shannon<U+0001F33C>",2012-07-11 02:21:30,FALSE,FALSE,"MsWeezah","Texas, USA","en","632500547",87,FALSE,"http://pbs.twimg.com/profile_images/1039208759145492480/yawgfGJc_normal.jpg"
"Iceberg21Slim5","I'm just a jawn that's here to tweet",780324,2906,1723,698,"https://t.co/il9ulbVLpn","Jenn",2012-06-26 01:01:00,FALSE,FALSE,"Iceberg21Slim5","Purgatory","en","618669456",54,FALSE,"http://pbs.twimg.com/profile_images/1102746046193717248/wd2WQ32C_normal.jpg"
"ShaqKharisteas","#E3 #CES #BlizzCon & #Gamescom Official Press. Director Creativo. I MET HOPPUS #Blink182 #CTID #Gamer. Americanista. Paranoia, my paranoia. HMO MX",23630,596,2943,1854,"https://t.co/mR2w4N7THK","Shaq Kharisteas",2009-09-14 22:40:18,FALSE,FALSE,"ShaqKharisteas","Narnia","es","74287665",30,FALSE,"http://pbs.twimg.com/profile_images/1102944673553936385/fna3DpUe_normal.jpg"
"ShaqKharisteas1","#E3 #CES #BlizzCon & #Gamescom Official Press. Director Creativo. I MET HOPPUS #Blink182 #CTID #Gamer. Americanista. Paranoia, my paranoia. HMO MX",23630,596,2943,1854,"https://t.co/mR2w4N7THK","Shaq Kharisteas",2009-09-14 22:40:18,FALSE,FALSE,"ShaqKharisteas","Narnia","es","74287665",30,FALSE,"http://pbs.twimg.com/profile_images/1102944673553936385/fna3DpUe_normal.jpg"
"SimmonsIan","",8730,113,1410,337,NA,"Ian Simmons",2011-06-20 18:33:48,FALSE,FALSE,"SimmonsIan","Arlington, Va.","en","320909151",3,FALSE,"http://pbs.twimg.com/profile_images/509719272453836800/-qZuFwa1_normal.jpeg"
"Kelley_garner5","Wife~mother of 3 girls~PE teacher~loves Jesus, family, friends, the great outdoors and a huge Alabama Crimson Tide Fan!",1326,87,12419,134,NA,"Kelley Garner",2016-11-18 22:00:24,FALSE,FALSE,"Kelley_garner5","Alabama, USA","en","799734025141309441",1,FALSE,"http://pbs.twimg.com/profile_images/800787534422876162/W5IPpckY_normal.jpg"
"666ofswords","rowdy boy ready to rumble <U+0001F995> @rowdyboyszineco/@omahazinefest <U+0001F47D> they/them <U+0001F335>thisisaksemail@gmail.com",3666,314,9846,513,NA,"ak",2018-09-19 21:30:27,FALSE,FALSE,"666ofswords","Omaha, NE","en","1042526357127741440",1,FALSE,"http://pbs.twimg.com/profile_images/1104001945281409024/xiEp0Lze_normal.jpg"
"larryfrawley","BrokerOwner Carolina Real Estate Brokerage, LP licensed in Texas, North Carolina and South Carolina",6834,368,14,540,"https://t.co/NCWikkzCtX","Larry Frawley",2009-03-18 21:01:56,FALSE,FALSE,"larryfrawley","Charleston SC","en","25153778",4,FALSE,"http://pbs.twimg.com/profile_images/805570685485641728/q0UdjHK1_normal.jpg"
"noellecarino","Wife. Mama Bear. Lover of Life. Spiritual Gangster. Proud Toms River/Ocean County Resident. School Partnerships - East Coast @ Swing Education. #WeAreTR",1225,200,1088,567,"https://t.co/0tCqaORH5C","Noelle Carino",2010-02-23 19:11:19,FALSE,FALSE,"noellecarino","Toms River, NJ","en","116845205",4,FALSE,"http://pbs.twimg.com/profile_images/1097560664351084545/5ggywvx8_normal.jpg"
"EnahsReivrej_","BIA: Because I Am • A Brand For The People. ALL THE PEOPLE • Click The Link Order Today• Happily Married <U+0001F48E>",1069,209,639,161,"https://t.co/0j7AjaJddf","Enahs Reivrej",2018-03-30 21:15:05,FALSE,FALSE,"EnahsReivrej_","Brooklyn","en","979829389599928320",0,FALSE,"http://pbs.twimg.com/profile_images/1059913048381628416/m9I1QF1c_normal.jpg"
"Xalthir","DM, Nerd, Father of a small hive of eldritch horrors.  

He/Him. 
Capricorny. 
'Xal the Pal'   

https://t.co/ZSXkszqor5
https://t.co/iJrXAtvU5S",9283,190,6982,218,"https://t.co/Zl4zBledZ4","DM <U+2600><U+FE0F> Xalthir",2009-06-09 07:29:38,FALSE,FALSE,"Xalthir","Louisiana, USA","en","45788712",5,FALSE,"http://pbs.twimg.com/profile_images/1097265290453356545/V9qRhCQX_normal.png"
"bremynuts","20.",29947,1535,9356,811,"https://t.co/VJex1uAexD","b renae",2013-12-02 04:25:35,FALSE,FALSE,"bremynuts","Cleveland, OH","en","2204100045",5,FALSE,"http://pbs.twimg.com/profile_images/1100650407913771014/V1ZptR9U_normal.jpg"
"DeuceDaGoose","Proud dad, music, sports, family",1701,96,2684,186,NA,"Marcus E Baddger",2017-02-23 04:59:31,FALSE,FALSE,"DeuceDaGoose","Cleveland, OH","en","834628735093633025",0,FALSE,"http://pbs.twimg.com/profile_images/847509390903005184/QD1pE6rK_normal.jpg"
"natexsnitchler","@_caramargaret. calcifur. guitar in @goodenoughrock. bass in en love. xxx. MLTYF.",2818,189,5926,178,"https://t.co/zvwvxcpm5O","A$AP Rock Lee",2018-05-07 18:51:43,FALSE,FALSE,"natexsnitchler","Columbus, OH","en","993564048980697089",0,FALSE,"http://pbs.twimg.com/profile_images/1092635130164899840/7H1Ib7L5_normal.jpg"
"melonnails1","nothing that has happened so far has been anything we could control , Gaby’s girl",9036,229,7714,189,"https://t.co/3Luv0tFg9d","Rachel Alicia",2010-11-14 04:20:09,FALSE,FALSE,"melonnails1","Earth","en","215512842",2,FALSE,"http://pbs.twimg.com/profile_images/1095801953135796224/ak0fo_VW_normal.jpg"
"oooglieandme","Official Twitter page for OOOGLIE & ME, a No Cry Project. Need free baby diapers? Call the Helpline Fridays only: 1 (727)328-4791",543,120,2050,121,"https://t.co/eDVYLEdsg6","OOOGLIE & ME",2018-11-16 19:28:18,FALSE,FALSE,"oooglieandme","Panama City Beach, Florida ","en","1063514114289487872",0,FALSE,"http://pbs.twimg.com/profile_images/1096469362746318848/cxmB1NR3_normal.jpg"
"Omalicha___","Sane.

Smart.

Stubborn.

Self-Confident.",11617,4116,813,4261,"https://t.co/tdHgP15tpx","Professional Baby Girl",2015-08-20 12:10:55,FALSE,FALSE,"Omalicha___","Earth.","en","3432676467",4,FALSE,"http://pbs.twimg.com/profile_images/1083029806772559872/agI7yw0F_normal.jpg"
"YoungWava","",8310,245,25087,89,NA,"Wava Young",2015-04-06 01:56:58,FALSE,FALSE,"YoungWava","Ohio, USA","en","3138941685",4,FALSE,"http://pbs.twimg.com/profile_images/757773747545833472/VL9khCAA_normal.jpg"
"tranzmission","",2287,124,26,4,"https://t.co/qkG7HcASVT","Tranzmission",2016-05-30 19:59:52,FALSE,FALSE,"tranzmission","Asheville, NC","en","737372979009589248",0,FALSE,"http://pbs.twimg.com/profile_images/1012061610465058816/lXrLH9sy_normal.jpg"
"JonnyOrlansky","He/Him.  Jayhawks/Cardinals/Pelicans.  Go left until you can see vaccines being blamed for autism, slam on the brakes and you’re there.",2814,88,45888,740,NA,"Jonny Orlansky",2012-08-18 17:13:07,FALSE,FALSE,"JonnyOrlansky","Baltimore, MD","en","766056240",1,FALSE,"http://pbs.twimg.com/profile_images/795975134138036224/ZluAD-1G_normal.jpg"
"uknowro","Socially Anti-Social. Maternal. Like at your own risk. Full of <U+2728><U+2728>",5461,89,514,166,NA,"<U+0001F481><U+0001F3FD><U+200D><U+2640><U+FE0F><U+2728><U+2728><U+2728>",2018-08-14 14:56:12,FALSE,FALSE,"uknowro","Louisiana, USA","en","1029381175763263488",0,FALSE,"http://pbs.twimg.com/profile_images/1094505913841528837/vcxrXe7u_normal.jpg"
"LyssaMavroff","Smiley, dumb blonde <U+0001F33B>",27,4,74,43,NA,"lyssa Mavroff",2019-01-24 21:20:53,FALSE,FALSE,"LyssaMavroff","Wisconsin, USA","en","1088547208486637569",0,FALSE,"http://pbs.twimg.com/profile_images/1088548957675048960/aTsfRuEA_normal.jpg"
"shumeklat69","everyone i loved left me, cuz y not?",6582,1196,29642,869,"https://t.co/MbmXivffl0","jen",2017-06-20 12:02:05,FALSE,FALSE,"shumeklat69","find me","en","877134454484901888",0,FALSE,"http://pbs.twimg.com/profile_images/1099007528283688960/8WcrdNKw_normal.png"
"drowzygay","xoxo <U+0001F33B><U+0001F329><U+0001F308><U+0001F352><U+0001F680><U+0001F52E>",2390,21,3683,46,NA,"lana del rey’s slave <U+2728>",2018-10-24 18:59:32,FALSE,FALSE,"drowzygay","Georgia, USA","en","1055171955010224133",0,FALSE,"http://pbs.twimg.com/profile_images/1098981608319844353/gBMwcuWY_normal.jpg"
"LND_Phantom","Phantom of 'Love Never Dies'/ 'LND'<U+C5F0><U+D569>/ DVD<U+AE30><U+BC18> <U+BE44><U+ACF5><U+C2DD> <U+BC18><U+C218><U+B3D9><U+BD07>/<U+B300><U+C0AC><U+D2B8><U+C717><U+C740> <U+C790><U+B3D9><U+D2B8><U+C717><U+C774><U+BA70> <U+B05D><U+C5D0> #Lyric <U+C774> <U+BD99><U+C2B5><U+B2C8><U+B2E4>/<U+D06C><U+B85C><U+C2A4><U+C624><U+BC84> <U+C788><U+C744> <U+C218> <U+C788><U+C2B5><U+B2C8><U+B2E4>/",12362,30,0,8,NA,"Phantom",2012-12-22 12:33:35,FALSE,FALSE,"LND_Phantom","Coney Island","ko","1028410098",0,FALSE,"http://pbs.twimg.com/profile_images/3603350291/f85c2206435cc1d28875de28345fafae_normal.jpeg"
"goddesssliliana","Paul<U+0001F48D> | just a functional fuckup <U+0001F918><U+0001F3FC> <U+0001F49C> KOTAS DOBBY <U+0001F49C> Leo <U+0001F31E> Gemini <U+0001F31B> Virgo <U+2350>",18533,787,14574,747,"https://t.co/2n3MkeO9Ud","<U+0001F6F8> <U+0001D54B><U+0001D563><U+0001D55A><U+0001D55D><U+0001D55D><U+0001D564> <U+0001D557><U+0001D560><U+0001D563> <U+0001D54B><U+0001D559><U+0001D563><U+0001D55A><U+0001D55D><U+0001D55D><U+0001D564><U+0001F47E><U+0001F51C>BUKU",2013-09-04 13:02:27,FALSE,FALSE,"goddesssliliana","Chicago, IL","en","1728669060",4,FALSE,"http://pbs.twimg.com/profile_images/1098087153018568705/f1LjbpNE_normal.jpg"
"Ferrtz","PRINCESA QUE SE RESPETA, SE RESCATA SOLA. 

Mujer capaz de todo.",38098,441,818,381,NA,"María Fertz <U+0001F1F2><U+0001F1FD>",2009-09-06 02:35:43,FALSE,FALSE,"Ferrtz","México, D.F.","es","71947808",0,FALSE,"http://pbs.twimg.com/profile_images/1085953962971414528/nxjdKWbD_normal.jpg"
"ChynaLing","God fearing women, loving mother, Senior in college, Business women. I'm my own boss and I inspire others to be great. <U+0001F481><U+0001F3FD><U+0001F44F><U+0001F3FD><U+0001F60D><U+0001F917><U+0001F64B><U+0001F3FD><U+0001F495><U+2764><U+FE0F>",39875,490,1904,700,"https://t.co/7GgmDb0xdj","Chyna Ling",2009-06-23 18:04:31,FALSE,FALSE,"ChynaLing","Washington DC","en","50050311",3,FALSE,"http://pbs.twimg.com/profile_images/1095722037513994240/1bbP0p5a_normal.jpg"
"JorgeGuapo22","Live music junkie. Hockey nerd. Lyft story teller. I'll tell you what time it is.",22759,754,25537,1932,NA,"George Slater",2009-10-22 07:28:24,FALSE,FALSE,"JorgeGuapo22","Chicago, IL","en","84266442",30,FALSE,"http://pbs.twimg.com/profile_images/858530087867748352/Br53vkgo_normal.jpg"
"x_sdg60","Add me on Sc :desrion_barkley <U+2764><U+FE0F>",1305,419,1152,742,NA,"Desrion Barkley",2016-12-06 23:08:54,FALSE,FALSE,"x_sdg60","Atlanta, GA","en","806274245630246912",0,FALSE,"http://pbs.twimg.com/profile_images/1096655527835250688/hKhpP6Z5_normal.jpg"
"kawaiisca","| resident oddball | menagarie owner | seamstress | baker |",234,122,435,213,NA,"champagne and shea butter | B<U+0394>K | electroFB",2015-01-21 03:56:39,FALSE,FALSE,"kawaiisca","Louisiana, USA","en","2988848632",1,FALSE,"http://pbs.twimg.com/profile_images/1095855814013865987/xOYWUeHa_normal.jpg"
"sweetestgirl93_","25 <U+0001F5A4> wife <U+0001F48D> la vie est belle<U+0001F48B>",42528,1080,16201,622,NA,"Courtney <U+0001F451>",2011-11-17 03:03:16,FALSE,FALSE,"sweetestgirl93_","Lumberton, NC ","en","414474967",3,FALSE,"http://pbs.twimg.com/profile_images/1096910297263206400/li0NjuYY_normal.jpg"
"TDukett34","‘95 till infinity <U+0001F680>  | “if lifes a book rip out the last page and roll up a j hoe” - 7th ward lord",2402,143,3726,509,NA,"Ole Budd Dwyer",2014-03-05 04:18:42,FALSE,FALSE,"TDukett34","Tampa, FL","en","2384298911",0,FALSE,"http://pbs.twimg.com/profile_images/1100949943227949057/N0WlKY8o_normal.jpg"
"JFrayWTOP","Entertainment Editor. Movie Critic. Filmmaker. Crab Picker. Day Tripper. Seinfeld Quoter. DMV raised on Joe Gibbs and Cal Ripken Jr.",12181,3004,2571,3976,"https://t.co/KA9lUrybAW","Jason Fraley",2011-11-17 14:39:51,FALSE,TRUE,"JFrayWTOP","Washington DC","en","414818069",95,FALSE,"http://pbs.twimg.com/profile_images/1088122701519106048/hH7TiTcq_normal.jpg"
"annahpostahpkos","UNC Alum+STEM+travel| proud son of refugees <U+0001F338>",4235,202,18632,389,NA,"Sophanna Sokphat",2011-09-23 03:05:05,FALSE,FALSE,"annahpostahpkos","Winston-Salem, NC","en","378377165",3,FALSE,"http://pbs.twimg.com/profile_images/1028270241284063233/wVeVULvi_normal.jpg"
"NeilaK20","Artist/Writer Asexual #DNARW  #ByTheBlade #MagicRemains #PsychicUnderground Support: https://t.co/qcpAZFpmZg  SarahNeilaElkins( AT )gmail (She/Her)",138666,1613,200065,810,"https://t.co/9awdioInZA","Sarah Elkins (Commissions Open)",2008-12-11 23:49:32,FALSE,FALSE,"NeilaK20","Texas","en","18064262",142,FALSE,"http://pbs.twimg.com/profile_images/870437795382284289/WncSdkRw_normal.jpg"
"MUVAnaeee","I know my name in ya hoes search bar <U+0001F60C><U+0001F478><U+0001F3FD>",23790,136,1572,167,NA,"Secure The Bag <U+0001F61C><U+0001F4B0>",2015-09-25 22:30:01,FALSE,FALSE,"MUVAnaeee","Washington, DC","en","3775582342",0,FALSE,"http://pbs.twimg.com/profile_images/1102638496043421699/ngpL8aPP_normal.jpg"
"CC4Future","IT’S ABOUT WHAT’S BEST FOR THE CHILDREN. #EndGunViolence #HealthcareForAll #Equality #Freedom #Justice Our work is not done. NO PERSON IS ABOVE THE LAW!",86086,3330,46285,3884,NA,"CCLAM",2012-01-09 13:20:00,FALSE,FALSE,"CC4Future","USA","en","459259315",135,FALSE,"http://pbs.twimg.com/profile_images/1104102524808847363/rlBwFcZ8_normal.jpg"
"MiyuYowane","Salutations! There is a sort of intrigue about me. An aspiring VA on a novice level who spends her days writing, singing and fiddling with video games. OH-IO :3",2613,448,7647,1622,"https://t.co/vl3rk3hcrt","Arakittenz (Maria Arakat)",2014-11-12 04:38:36,FALSE,FALSE,"MiyuYowane","Let me get this straight <U+0001F914>","en","2873374900",1,FALSE,"http://pbs.twimg.com/profile_images/1089552688486981633/j4LXYN-t_normal.jpg"
"aliiigeee","take the chance while you still have the choice.
philippians 4:13


28. nurse. sports. cooking. 
snapchat/instagram: aliiigeee",33110,187,3064,299,NA,"ali g",2009-10-01 03:31:25,FALSE,FALSE,"aliiigeee","california","en","78791055",13,FALSE,"http://pbs.twimg.com/profile_images/1011788605159665664/bw8HhjQP_normal.jpg"
"flowerqu_een","recreational crier | she/her",1787,116,3284,275,NA,"tony hawk’s underground 2",2016-12-24 21:47:20,FALSE,FALSE,"flowerqu_een","Loserville, USA","en","812776700555722752",1,FALSE,"http://pbs.twimg.com/profile_images/1096486218450288640/kUyGqy-C_normal.jpg"
"owen_j_ache1","",736,33,2590,43,NA,"<U+30AA><U+30A6><U+30A8><U+30F3>",2018-12-07 16:10:33,FALSE,FALSE,"owen_j_ache","Bronx, NY","en","1071074493999792128",0,FALSE,"http://pbs.twimg.com/profile_images/1096201401049456651/_m40rhVl_normal.jpg"
"_Rynnu","I'm Ryn! Digital Artist|College Art Student|S+ Splatoon2|Cosplay maybe|Is a ghost - I like cute anime girls - DM about commissions - Please do not use my art! <U+2665>",12443,1116,46836,1248,"https://t.co/fBMdRLQbjU","<U+0001F33A> Ryn <U+0001F33A> COMMISSIONS OPEN",2012-02-14 23:06:22,FALSE,FALSE,"_Rynnu","Wonderland","en","492628052",7,FALSE,"http://pbs.twimg.com/profile_images/1095143748412076033/5lqgrcmw_normal.jpg"
"saguynes","SFF critic, scholar. <U+262D> Journals Coordinator, @M_Publishing. Editor, SFRA Review; Managing Ed, @JEPub. Books: @ohiostatepress @AmsterdamUPress.",6585,750,5519,1624,"https://t.co/iETLrM188K","Sean Guynes",2015-08-26 00:44:48,FALSE,FALSE,"saguynes","Ann Arbor, MI","en","3342868638",9,FALSE,"http://pbs.twimg.com/profile_images/1041076051668082693/2DfJq_Ec_normal.jpg"
"erica_strahm1","",209,36,2256,53,NA,"Erica Angela Strahm",2017-02-08 18:49:08,FALSE,FALSE,"erica_strahm","Westfield, Indiana","en","829401696564629519",0,FALSE,"http://pbs.twimg.com/profile_images/906640514761609216/D96dNUMu_normal.jpg"
"Pain_Ache1","#Beautiful Libraa 09.24 .#Team Big Booty #Team Wit Cho Daddy! #Team Carmel #Team OKC Bitch!! I Sing / Dance / Full Time Weed SMOKER × Misunderstood",2943,157,0,522,NA,"Liyah Love's U",2010-03-07 05:27:59,FALSE,FALSE,"Pain_Ache","Milwaukee,WI","en","120672738",0,FALSE,"http://pbs.twimg.com/profile_images/421033610817196032/S_2bs57n_normal.jpeg"
"tlachtga","Amature Celticist; @zizpa's Boswell. FOT.",28257,760,43769,1815,"https://t.co/3ET7iq79za","Mary Jones <U+2368>",2008-10-19 04:12:31,FALSE,FALSE,"tlachtga","Lansdale, PA","en","16847740",28,FALSE,"http://pbs.twimg.com/profile_images/1096035075211300865/Qti3qU7k_normal.jpg"
"yung_ache6","ache [ ayy-ck ] \ ben bursell, he \ him",1524,338,10610,320,"https://t.co/VFhjgqTQOs","<U+0001D51E><U+0001D520><U+0001D525><U+0001D522>",2010-06-27 02:38:34,FALSE,FALSE,"yung_ache","Boston, MA","en","160058837",1,FALSE,"http://pbs.twimg.com/profile_images/1080019663151685632/LktYcAhT_normal.jpg"
"irisesther54","I am a retired electrical engineer. I have 3 daughters and 4 furbabies: Wookie, Pandora, Cubana, and Tupac OTRB 27/Nov/18.",29172,2341,120826,4464,NA,"Iris Esther López RIP Tupac <U+0001F308><U+0001F494>",2011-03-14 00:44:28,FALSE,FALSE,"irisesther54","Gurabo, Puerto Rico","en","265691910",53,FALSE,"http://pbs.twimg.com/profile_images/1095656170587652097/5CgTCf17_normal.jpg"
"betty_coffee","Love.Pray.Drink Coffee.Take Pictures. A Cuban from so many places and traveling to eternity. Simple y Honesta. Ven a tomar café conmigo y nos damos un abrazo :)",1670,336,2558,678,"https://t.co/VxRw0l9P01","Betty Guerra Perdomo",2015-11-29 06:02:27,FALSE,FALSE,"betty_coffee","Charlotte, NC","es","4315003817",20,FALSE,"http://pbs.twimg.com/profile_images/928892188255191040/myjOuMQI_normal.jpg"
"AlethicLogic","I believe every Democrat should have access to democracy.",26718,1362,39996,1823,"https://t.co/ilgbTCLW9y","Blue Magoo <U+23F3>",2016-06-05 20:42:48,FALSE,FALSE,"AlethicLogic","California, USA","en","739558109325066240",26,FALSE,"http://pbs.twimg.com/profile_images/1080119817003196416/3MhrEOcT_normal.jpg"
"Niello_","I'm rooting for everyone Black <U+0001F937><U+0001F3FF><U+200D><U+2642><U+FE0F>

IG: @benevolence_3

Afro-Caribbean-American",116044,876,20315,815,NA,"Allure",2011-08-13 00:04:04,FALSE,FALSE,"Niello_","New York City","en","354000961",26,FALSE,"http://pbs.twimg.com/profile_images/1021596124103299072/phBvTwCL_normal.jpg"
"meowwkittay","42Ö fwiiendly<U+0001F4A8> be diiffërent; be weiird; be yöü <U+0001F996> <U+264B><U+FE0F><U+2728>| caught up in all the pretty lights |<U+2728> P L F <U+0001F49C>",43288,1125,35430,402,"https://t.co/TxDhHeQti5","<U+2728>alleycat<U+0001F408>MEOWW<U+0001F6F8>",2009-07-11 06:10:38,FALSE,FALSE,"meowwkittay","Chicago, IL","en","55772980",24,FALSE,"http://pbs.twimg.com/profile_images/1100284986983415808/mZrKv7pY_normal.jpg"
"OrganicYogaCo","OYC is a yoga school and studio in Sioux Falls, SD. We offer weekly multi-level classes and Yoga Alliance 200-Hour Teacher Training. Namaste!",478,10,0,3,"http://t.co/tIb4raSr","Organic Yoga Company",2012-12-31 19:42:45,FALSE,FALSE,"OrganicYogaCo","Sioux Falls","en","1051048574",0,FALSE,"http://pbs.twimg.com/profile_images/3047173669/92d26c3eb2e9a37e1da9e830fd38fb4b_normal.png"
"92elmstreet","in the lab, brb ------------————",205,251,1369,144,"https://t.co/QbewxZYr7s","92elm",2018-03-22 16:55:46,FALSE,FALSE,"92elmstreet","Philadelphia, PA","en","976865027289419786",1,FALSE,"http://pbs.twimg.com/profile_images/1038834420986200064/1i_dHtso_normal.jpg"
"stevemullis","Editor @MorningEdition. Formerly @NPR digital editor; Also @MPRNews & Tribune. DMs open. Signal and Protonmail available. Not an enemy of the American people.",38094,6029,25197,2530,"https://t.co/Vf88KRUAKR","Steve Mullis",2007-07-25 12:03:14,FALSE,TRUE,"stevemullis","Washington, D.C.","en","7709912",241,FALSE,"http://pbs.twimg.com/profile_images/1025149145403875329/LMZqH7ck_normal.jpg"
"OrganicYogaCo1","OYC is a yoga school and studio in Sioux Falls, SD. We offer weekly multi-level classes and Yoga Alliance 200-Hour Teacher Training. Namaste!",478,10,0,3,"http://t.co/tIb4raSr","Organic Yoga Company",2012-12-31 19:42:45,FALSE,FALSE,"OrganicYogaCo","Sioux Falls","en","1051048574",0,FALSE,"http://pbs.twimg.com/profile_images/3047173669/92d26c3eb2e9a37e1da9e830fd38fb4b_normal.png"
"AirmaxCanada","#sneakerhead #sneakers #Nike #Airmax #Socks #gay #fetish #bottom in Canada <U+0001F1E8><U+0001F1E6> NSFW <U+0001F51E>",97,1251,285,141,NA,"AirmaxCanada",2019-02-03 14:58:38,FALSE,FALSE,"AirmaxCanada","Toronto, Ontario","en","1092074892693041152",2,FALSE,"http://pbs.twimg.com/profile_images/1102305036120416256/neex2ljr_normal.jpg"
"royaltybucky","that’s all it is miles... a leap of faith. ig:noraelyadini",34499,1375,58209,689,NA,"n saw captain marvel",2014-10-30 19:57:25,FALSE,FALSE,"royaltybucky","m","fr","2852044894",69,FALSE,"http://pbs.twimg.com/profile_images/1089228966257479681/WhcVteRc_normal.jpg"
"wooooozee","",97,17,422,137,NA,"Marie Laport",2009-04-28 13:07:44,FALSE,FALSE,"wooooozee","NYC","en","36059425",1,FALSE,"http://pbs.twimg.com/profile_images/1019774289661366277/7ZOyUBY6_normal.jpg"
"LindaJones_NYC","Actor, writer, runner, reader, lover of cats & dogs. I narrate books. I have fallen down in every borough.",415,204,1988,363,"https://t.co/yLRLnJTbRO","Linda Jones",2011-01-16 17:30:51,FALSE,FALSE,"LindaJones_NYC","NYC","en","239043554",15,FALSE,"http://pbs.twimg.com/profile_images/1074753723149180930/6uDBrApj_normal.jpg"
"AHZFeNyX","me trying to get on with life #writing ... trying to anyway... LOVE #Nascar & #Racing on the NASCAR Fan Council  I write #Poetry &books(get over it) I am #FeNyX",2848,843,15507,1137,"https://t.co/4qKIdIl4IA","Alan Zukof",2012-05-27 16:18:39,FALSE,FALSE,"AHZFeNyX","New York","en","591948229",10,FALSE,"http://pbs.twimg.com/profile_images/1085897259651424257/96cUz6sA_normal.jpg"
"PatrickMcGrego7","Authentic Autistic Artistic Gamer/Weeb. 
He/Him. Enjoys memes.
Hopelessly obsessed with Sonic, RWBY, and Kingdom Hearts",2630,672,38878,405,NA,"Patrick McGregor",2016-08-15 17:24:05,FALSE,FALSE,"PatrickMcGrego7","Wisconsin","en","765237639859539969",0,FALSE,"http://pbs.twimg.com/profile_images/1078712455214309376/krQ8fPTH_normal.jpg"
"FixxYaFaceHoee","Mother 1st :<U+0001F478><U+0001F3FE><U+0001F467><U+0001F3FD><U+2763><U+FE0F><U+0001F467><U+0001F3FB>. Nurse 2nd:<U+0001F469><U+0001F3FE><U+200D><U+2695><U+FE0F><U+0001F3E9><U+0001F48A><U+0001F321><U+0001F489> <U+2624>",59474,1669,12224,2149,NA,"Mimiana <U+0001F451><U+0001F98D>",2009-06-29 02:21:11,FALSE,FALSE,"FixxYaFaceHoee","Cocoa, FL","en","51924284",2,FALSE,"http://pbs.twimg.com/profile_images/1102231687705051138/RwQdgDhf_normal.jpg"
"T_Briggsy","Instagram: tbriggsy 2 Tim 1:7",4104,556,6644,228,NA,"Taylor Briggs",2012-05-19 14:46:21,FALSE,FALSE,"T_Briggsy","Sarasota Florida","en","584900160",2,FALSE,"http://pbs.twimg.com/profile_images/1092134326718873606/TPhWsra7_normal.jpg"
"IanBHough","Author and Argonaut. Don't fuck with the best, 'cos the best don't fuck. #MUFC",7049,378,5908,348,NA,"TheFifthColumn",2011-03-04 22:04:03,FALSE,FALSE,"IanBHough","Main Street, USA","en","260923255",1,FALSE,"http://pbs.twimg.com/profile_images/1057292725370920960/2NYh8N0V_normal.jpg"
"angelofmusics","i’m falling.",8608,144,8536,66,"https://t.co/zFBIwPOnSu","*<U+0CC3><U+0FD0>  sushi",2018-04-25 04:58:34,FALSE,FALSE,"angelofmusics","*<U+0CC3>  washington heights","en","989005723769233413",10,FALSE,"http://pbs.twimg.com/profile_images/1102796524608778240/ztwhSvb-_normal.jpg"
